"Domain"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"SubSpecie"	"Specie"	"taxRank"	"taxID"	"Max"	"A54.cladeReads"	"A55.cladeReads"	"A56.cladeReads"	"A57.cladeReads"	"A58.cladeReads"	"A59.cladeReads"	"A60.cladeReads"	"A61.cladeReads"	"A62.cladeReads"	"A63.cladeReads"
"unclassified"	NA	NA	NA	NA	NA	NA	NA	"unclassified"	"U"	0	25800000	23599121	24409009	20965910	19220970	25800096	21753634	25015449	22799311	23668529	22792090
"root"	NA	NA	NA	NA	NA	NA	NA	"root"	"-"	1	11083000	6704949	5895732	9339514	11082935	4504558	8550937	5288069	7506277	6637175	7514556
"root"	NA	NA	NA	NA	NA	NA	NA	"cellular organisms"	"-"	131567	11080000	6697711	5347423	9336472	11079702	4491421	8545100	5283548	7452189	6630744	7503478
"cellular organisms"	NA	NA	NA	NA	NA	NA	NA	"Bacteria"	"D"	2	10798000	6634866	5231002	9257425	10797714	4406983	8495477	5210956	7408780	6565955	7394134
"cellular organisms"	"Bacteria"	NA	NA	NA	NA	NA	NA	"Terrabacteria group"	"-"	1783272	5213600	3521375	1993097	5213574	3830256	1613730	3336884	2519323	1923964	4430040	3573267
"cellular organisms"	"Bacteria"	NA	NA	NA	NA	NA	NA	"Firmicutes"	"P"	1239	3643900	2902683	1709449	3407736	3643900	1402817	1603743	1286751	1574818	1877485	2753752
"cellular organisms"	"Bacteria"	"Firmicutes"	NA	NA	NA	NA	NA	"Clostridia"	"C"	186801	2363000	2362959	1185061	218780	891523	1191697	512386	402964	1250890	425255	641349
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	NA	NA	NA	NA	"Clostridiales"	"O"	186802	2357500	2357474	1177372	214351	887504	1187220	509652	399387	1245598	418596	636787
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA	"Ruminococcaceae"	"F"	541000	995800	995804	498918	89436	396535	346043	237216	211395	457655	244147	127670
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA	"Faecalibacterium"	"G"	216851	892860	892864	414729	60556	390963	320414	223470	204580	401294	234376	123683
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Faecalibacterium"	NA	"Faecalibacterium prausnitzii"	"S"	853	892860	892864	414729	60556	390963	320414	223470	204580	401294	234376	123683
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA	"Ruminococcus"	"G"	1263	68317	68317	39049	2244	1562	12975	3513	2358	14870	2515	2180
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcus"	NA	"Ruminococcus bicirculans"	"S"	1160721	50334	50334	26297	1305	1224	8694	2024	958	4959	1791	1536
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcus"	NA	"Ruminococcus champanellensis"	"S"	1161942	15347	15347	10021	363	196	2994	456	379	7917	453	318
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcus"	NA	"Ruminococcus albus"	"S"	1264	2730	2635	2730	576	141	1286	1032	1019	1992	269	325
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA	"Flavonifractor"	"G"	946234	34373	26451	34373	26158	3413	9316	9355	3723	32506	5996	1395
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Flavonifractor"	NA	"Flavonifractor plautii"	"S"	292800	34373	26451	34373	26158	3413	9316	9355	3723	32506	5996	1395
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA	"Ethanoligenens"	"G"	253238	4242	3787	4242	156	231	1087	385	289	4074	539	173
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ethanoligenens"	NA	"Ethanoligenens harbinense"	"S"	253239	4242	3787	4242	156	231	1087	385	289	4074	539	173
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA	"unclassified Ruminococcaceae"	"-"	552397	4871	3558	4871	320	363	1536	491	444	3554	719	237
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"unclassified Ruminococcaceae"	NA	"unclassified Ruminococcaceae (miscellaneous)"	"-"	2305133	3264	2242	3264	268	230	1041	239	276	2145	171	196
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"unclassified Ruminococcaceae"	"unclassified Ruminococcaceae (miscellaneous)"	"Ruminococcaceae bacterium CPB6"	"S"	1572656	3264	2242	3264	268	230	1041	239	276	2145	171	196
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"unclassified Ruminococcaceae"	NA	"[Clostridium] cellulosi"	"S"	29343	1604	1310	1604	51	132	492	249	167	1406	547	39
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA	"Acutalibacter"	"G"	1918385	1652	825	1652	NA	NA	713	NA	NA	1356	NA	NA
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Acutalibacter"	NA	"Acutalibacter muris"	"S"	1796620	1652	825	1652	NA	NA	713	NA	NA	1356	NA	NA
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA	"Lachnospiraceae"	"F"	186803	916140	916137	246143	60043	87625	651963	168763	116218	427245	73261	346166
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA	"unclassified Lachnospiraceae"	"-"	186928	549260	547239	81211	24451	18472	549256	41728	58881	309844	24273	291478
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"unclassified Lachnospiraceae"	NA	"[Eubacterium] rectale"	"S"	39491	431910	334875	22986	10625	5488	431909	19414	37045	174370	8058	262075
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"unclassified Lachnospiraceae"	NA	"Lachnospiraceae bacterium GAM79"	"S"	2109691	180650	180652	36463	7712	7524	94069	10079	14120	119765	8330	16344
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"unclassified Lachnospiraceae"	NA	"Lachnospiraceae bacterium Choco86"	"S"	2109690	30276	30276	19876	5865	5310	22497	11820	7337	14887	7361	12612
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"unclassified Lachnospiraceae"	NA	"Lachnospiraceae bacterium oral taxon 500"	"S"	712991	1885	1435	1885	247	148	779	413	377	821	523	446
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA	"Roseburia"	"G"	841	258890	258891	54482	6892	4399	25040	10613	6020	39908	9172	12145
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Roseburia"	NA	"Roseburia hominis"	"S"	301301	258890	258891	54482	6892	4399	25040	10613	6020	39908	9172	12145
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA	"Lachnoclostridium"	"G"	1506553	44922	39921	44922	14230	8383	21641	20604	10413	27283	15887	11782
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnoclostridium"	NA	"Lachnoclostridium phocaeense"	"S"	1871021	12675	10389	12675	2117	1890	6632	4450	3356	7048	3736	2943
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnoclostridium"	NA	"[Clostridium] bolteae"	"S"	208479	14405	10432	14405	6632	2767	4200	8685	1828	8456	4895	2492
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnoclostridium"	NA	"[Clostridium] saccharolyticum"	"S"	84030	9205	7279	9205	1125	558	2796	1852	1605	4665	1068	1380
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnoclostridium"	NA	"Lachnoclostridium sp. YL32"	"S"	1834196	7485	7485	5412	2701	1951	5035	3517	2508	4564	4066	3174
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnoclostridium"	NA	"[Clostridium] sphenoides"	"S"	29370	2449	2449	2026	567	622	1609	1498	648	1323	1818	1161
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnoclostridium"	NA	"Lachnoclostridium phytofermentans"	"S"	66219	1883	1883	1197	1085	593	1367	600	465	1225	301	629
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA	"Anaerostipes"	"G"	207244	78862	31557	35208	3838	43845	31321	78862	29259	24611	5305	14938
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerostipes"	NA	"Anaerostipes hadrus"	"S"	649756	78862	31557	35208	3838	43845	31321	78862	29259	24611	5305	14938
